year,district,crime_type,crime_count
2023,Galle,Grave Sexual Abuse,29
2023,Galle,Grievous Hurt,52
2023,Galle,House Breaking,456
2023,Galle,Human Trafficking,0
2023,Galle,Hurt by Dangerous Weapons,106
2023,Galle,Illegal Firearms,0
2023,Galle,Kidnapping,6
2023,Galle,Mischief > 50k,12
2023,Galle,Murder,14
2023,Galle,Narcotic Drugs,56
2023,Galle,Obstructing Police,13
2023,Galle,Offences Against The State,0
2023,Galle,Offensive Weapons Act,2
2023,Galle,Property Theft > 50k,259
2023,Galle,Rape (Adult),7
2023,Galle,Robbery,145
2023,Galle,Sexual Exploitation Of Children,0
2023,Galle,Statutory Rape (Consensual),41
2023,Galle,Statutory Rape (Non-consensual),6
2023,Galle,Unlawful Assembly/ Riot,0
2023,Gampaha,Abduction,17
2023,Gampaha,Agriculture Theft > 50k,1
2023,Gampaha,Arson,11
2023,Gampaha,Attempt to Murder,3
2023,Gampaha,Cattle Theft > 50k,29
2023,Gampaha,Cheating / Breach of Trust > 300k,34
2023,Gampaha,Counterfeiting Currency,2
2023,Gampaha,Cruelty to Children,0
2023,Gampaha,Extortions,5
2023,Gampaha,Grave Sexual Abuse,16
2023,Gampaha,Grievous Hurt,18
2023,Gampaha,House Breaking,469
2023,Gampaha,Human Trafficking,0
2023,Gampaha,Hurt by Dangerous Weapons,65
2023,Gampaha,Illegal Firearms,2
2023,Gampaha,Kidnapping,8
2023,Gampaha,Mischief > 50k,7
2023,Gampaha,Murder,28
2023,Gampaha,Narcotic Drugs,343
2023,Gampaha,Obstructing Police,3
2023,Gampaha,Offences Against The State,0
2023,Gampaha,Offensive Weapons Act,5
2023,Gampaha,Property Theft > 50k,226
2023,Gampaha,Rape (Adult),11
2023,Gampaha,Robbery,128
2023,Gampaha,Sexual Exploitation Of Children,1
2023,Gampaha,Statutory Rape (Consensual),29
2023,Gampaha,Statutory Rape (Non-consensual),8
2023,Gampaha,Unlawful Assembly/ Riot,0
2023,Gampola,Abduction,7
2023,Gampola,Agriculture Theft > 50k,5
2023,Gampola,Arson,5
2023,Gampola,Attempt to Murder,1
2023,Gampola,Cattle Theft > 50k,6
2023,Gampola,Cheating / Breach of Trust > 300k,39
2023,Gampola,Counterfeiting Currency,0
2023,Gampola,Cruelty to Children,2
2023,Gampola,Extortions,3
2023,Gampola,Grave Sexual Abuse,14
2023,Gampola,Grievous Hurt,14
2023,Gampola,House Breaking,175
2023,Gampola,Human Trafficking,0
2023,Gampola,Hurt by Dangerous Weapons,32
2023,Gampola,Illegal Firearms,0
2023,Gampola,Kidnapping,2
2023,Gampola,Mischief > 50k,6
2023,Gampola,Murder,6
2023,Gampola,Narcotic Drugs,3
2023,Gampola,Obstructing Police,1
2023,Gampola,Offences Against The State,0
2023,Gampola,Offensive Weapons Act,0
2023,Gampola,Property Theft > 50k,88
2023,Gampola,Rape (Adult),4
2023,Gampola,Robbery,32
2023,Gampola,Sexual Exploitation Of Children,0
2023,Gampola,Statutory Rape (Consensual),10
2023,Gampola,Statutory Rape (Non-consensual),7
2023,Gampola,Unlawful Assembly/ Riot,0
2023,Hatton,Abduction,6
2023,Hatton,Agriculture Theft > 50k,0
2023,Hatton,Arson,2
2023,Hatton,Attempt to Murder,0
2023,Hatton,Cattle Theft > 50k,0
2023,Hatton,Cheating / Breach of Trust > 300k,9
2023,Hatton,Counterfeiting Currency,0
2023,Hatton,Cruelty to Children,0
2023,Hatton,Extortions,0
2023,Hatton,Grave Sexual Abuse,3
2023,Hatton,Grievous Hurt,16
2023,Hatton,House Breaking,61
2023,Hatton,Human Trafficking,0
2023,Hatton,Hurt by Dangerous Weapons,12
2023,Hatton,Illegal Firearms,0
2023,Hatton,Kidnapping,0
2023,Hatton,Mischief > 50k,2
2023,Hatton,Murder,2
2023,Hatton,Narcotic Drugs,0
2023,Hatton,Obstructing Police,1
2023,Hatton,Offences Against The State,0
2023,Hatton,Offensive Weapons Act,0
2023,Hatton,Property Theft > 50k,45
