year,month,district,crime_type,crime_count
2022,2,Whole Island,Mischief > 50k,35
2022,3,Whole Island,Mischief > 50k,39
2022,4,Whole Island,Mischief > 50k,44
2022,5,Whole Island,Mischief > 50k,48
2022,6,Whole Island,Mischief > 50k,52
2022,7,Whole Island,Mischief > 50k,51
2022,8,Whole Island,Mischief > 50k,42
2022,9,Whole Island,Mischief > 50k,40
2022,10,Whole Island,Mischief > 50k,37
2022,11,Whole Island,Mischief > 50k,47
2022,12,Whole Island,Mischief > 50k,58
2022,1,Whole Island,Murder,39
2022,2,Whole Island,Murder,34
2022,3,Whole Island,Murder,44
2022,4,Whole Island,Murder,45
2022,5,Whole Island,Murder,47
2022,6,Whole Island,Murder,51
2022,7,Whole Island,Murder,51
2022,8,Whole Island,Murder,40
2022,9,Whole Island,Murder,45
2022,10,Whole Island,Murder,47
2022,11,Whole Island,Murder,55
2022,12,Whole Island,Murder,61
2022,1,Whole Island,Narcotic Drugs,490
2022,2,Whole Island,Narcotic Drugs,509
2022,3,Whole Island,Narcotic Drugs,655
2022,4,Whole Island,Narcotic Drugs,655
2022,5,Whole Island,Narcotic Drugs,738
2022,6,Whole Island,Narcotic Drugs,927
2022,7,Whole Island,Narcotic Drugs,741
2022,8,Whole Island,Narcotic Drugs,687
2022,9,Whole Island,Narcotic Drugs,678
2022,10,Whole Island,Narcotic Drugs,662
2022,11,Whole Island,Narcotic Drugs,691
2022,12,Whole Island,Narcotic Drugs,835
2022,1,Whole Island,Obstructing Police,11
2022,2,Whole Island,Obstructing Police,11
2022,3,Whole Island,Obstructing Police,13
2022,4,Whole Island,Obstructing Police,13
2022,5,Whole Island,Obstructing Police,19
2022,6,Whole Island,Obstructing Police,13
2022,7,Whole Island,Obstructing Police,17
2022,8,Whole Island,Obstructing Police,12
2022,9,Whole Island,Obstructing Police,13
2022,10,Whole Island,Obstructing Police,16
2022,11,Whole Island,Obstructing Police,16
2022,12,Whole Island,Obstructing Police,16
2022,1,Whole Island,Offences Against The State,0
2022,2,Whole Island,Offences Against The State,0
2022,3,Whole Island,Offences Against The State,0
2022,4,Whole Island,Offences Against The State,0
2022,5,Whole Island,Offences Against The State,0
2022,6,Whole Island,Offences Against The State,0
2022,7,Whole Island,Offences Against The State,0
2022,8,Whole Island,Offences Against The State,0
2022,9,Whole Island,Offences Against The State,0
2022,10,Whole Island,Offences Against The State,0
